"","Subtype","Provider","Name","Council","Grades published","Setting","Staffing","Leadership","Care and play","Complaints upheld since 22/23","Total"
"310","Under 3s","Voluntary or Not for Profit","Dyke Pre-school Centre","Moray","14/06/2019",4,4,4,4,0,16
"311","Over 3s","Private","Kinloss Crafty Cool Kids' Club","Moray","06/10/2017",4,4,4,4,0,16
"312","Under 3s","Voluntary or Not for Profit","The Cabin","Moray","21/12/2022",5,4,4,4,0,17
"313","Over 3s","Voluntary or Not for Profit","Knockando Playgroup","Moray","11/03/2020",4,4,4,4,0,16
"314","Over 3s","Voluntary or Not for Profit","Rothiemay Playgroup","Moray","02/03/2020",5,4,4,5,0,18
"315","Under 3s","Voluntary or Not for Profit","Portessie Playgroup","Moray","16/12/2019",4,4,4,4,0,16
"316","Under 3s","Private","Bishopmill Pre-school Centre","Moray","21/06/2023",3,5,4,4,0,16
"317","Under 3s","Voluntary or Not for Profit","Garmouth & Kingston Pre-School Group","Moray","18/08/2020",5,5,5,5,0,20
"318","Under 3s","Voluntary or Not for Profit","Noah's Ark Day Care","Moray","06/09/2018",5,4,4,5,0,18
"319","Under 3s","Private","Rainbow Childcare and Education Ltd","Moray","30/01/2024",4,5,4,4,0,17
"320","Under 3s","Voluntary or Not for Profit","Portknockie Nursery","Moray","04/07/2023",3,4,3,4,0,14
"321","Under 3s","Voluntary or Not for Profit","The Teddy Bear Developmental Playgroup","Moray","18/06/2023",4,4,3,4,0,15
"322","Under 3s","Voluntary or Not for Profit","Argus Playgroup","Scottish Borders","24/01/2019",4,4,4,4,0,16
"323","Under 3s","Private","Cherrytrees Children's Nursery","Scottish Borders","30/09/2021",4,5,5,4,0,18
"324","Over 3s","Voluntary or Not for Profit","Denholm Playgroup","Scottish Borders","25/08/2022",5,4,4,5,0,18
"325","Under 3s","Voluntary or Not for Profit","East Green Nursery and Out of School Club","Scottish Borders","08/02/2024",4,5,4,5,0,18
"326","Under 3s","Voluntary or Not for Profit","Seashells Nursery","Scottish Borders","09/05/2024",2,3,2,3,0,10
"327","Under 3s","Private","First Nursery and After School Care","Scottish Borders","15/07/2019",6,5,5,5,0,21
"328","Under 3s","Voluntary or Not for Profit","Fogo Nursery","Scottish Borders","13/02/2020",5,5,5,5,0,20
"329","Under 3s","Voluntary or Not for Profit","Highway Day Nursery","Scottish Borders","14/09/2023",4,4,4,4,0,16
"330","Under 3s","Voluntary or Not for Profit","Kingsmeadows Nursery (Peebles) Ltd","Scottish Borders","13/12/2022",5,5,5,5,0,20
"331","Under 3s","Voluntary or Not for Profit","Newlands Kids","Scottish Borders","26/02/2024",3,3,3,3,2,12
"332","Under 3s","Local Authority","Lerwick Early Learning and Childcare","Shetland Islands","10/10/2023",4,3,3,3,0,13
"333","Under 3s","Voluntary or Not for Profit","Burra Early Years","Shetland Islands","04/12/2019",5,5,5,5,0,20
"334","Over 3s","Voluntary or Not for Profit","Stornoway Playgroup","Na h-Eileanan Siar","09/07/2018",5,5,4,5,0,19
"335","Under 3s","Private","ABC Day Nursery","Perth & Kinross","19/03/2024",2,1,1,2,0,6
"336","Over 3s","Voluntary or Not for Profit","Alyth Out of School Care Group","Perth & Kinross","05/10/2023",4,5,3,4,0,16
"337","Under 3s","Private","Bridge of Earn Nursery","Perth & Kinross","22/03/2024",4,5,5,4,0,18
"338","Under 3s","Private","Big Country Children's Club","Perth & Kinross","30/08/2022",4,5,4,5,0,18
"339","Under 3s","Private","Little Glen","Perth & Kinross","15/05/2023",4,5,4,4,0,17
"340","Under 3s","Private","Honeypot Children's Nursery - Almondbank","Perth & Kinross","14/09/2023",4,5,4,4,0,17
"341","Under 3s","Private","Honeypot Children's Nursery - Luncarty","Perth & Kinross","11/10/2023",5,4,4,4,0,17
"342","Under 3s","Voluntary or Not for Profit","Humpty Dumpty Community Nursery","Perth & Kinross","18/10/2019",5,4,5,5,0,19
"343","Over 3s","Voluntary or Not for Profit","Kinross After School Club","Perth & Kinross","19/12/2023",4,5,4,4,0,17
