"Date","Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"May-20","Highland","4.343750","4.140625","3.761905","3.600000","3.840000"
"May-20","Inverclyde","4.476190","4.380952","3.750000","4.000000","3.666667"
"May-20","Midlothian","3.833333","3.833333","3.428571","3.375000","3.750000"
"May-20","Moray","3.533333","3.733333","3.375000","3.111111","3.272727"
"May-20","Na h-Eileanan Siar","4.125000","3.875000","3.333333","3.400000","3.000000"
"May-20","North Ayrshire","4.400000","4.200000","3.545455","3.700000","3.666667"
"May-20","North Lanarkshire","4.161290","3.774194","4.000000","4.000000","3.571429"
"May-20","Orkney Islands","4.571429","4.428571","3.000000","4.000000","3.000000"
"May-20","Perth & Kinross","4.300000","4.100000","3.533333","3.666667","3.800000"
"May-20","Renfrewshire","4.500000","4.423077","4.000000","4.000000","3.900000"
"May-20","Scottish Borders","4.333333","4.222222","3.727273","3.777778","3.714286"
"May-20","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"May-20","South Ayrshire","3.714286","3.904762","3.666667","3.250000","3.230769"
"May-20","South Lanarkshire","3.981481","3.759259","3.718750","3.833333","3.542857"
"May-20","Stirling","3.904762","3.666667","3.111111","3.444444","3.300000"
"May-20","West Dunbartonshire","4.200000","4.200000","4.000000","4.000000","3.800000"
"May-20","West Lothian","4.428571","4.142857","3.888889","3.400000","3.692308"
"Jun-20","Aberdeen City","4.460000","4.440000","4.000000","3.846154","4.000000"
"Jun-20","Aberdeenshire","4.428571","4.349206","3.777778","4.294118","4.000000"
"Jun-20","Angus","4.100000","4.033333","3.272727","3.818182","3.545455"
"Jun-20","Argyll & Bute","4.000000","3.705882","3.800000","3.777778","3.333333"
"Jun-20","City of Edinburgh","4.108108","3.932432","3.727273","3.656250","3.812500"
"Jun-20","Clackmannanshire","4.363636","4.636364","3.500000","3.500000","3.000000"
"Jun-20","Dumfries & Galloway","4.096774","4.161290","3.500000","3.384615","3.250000"
"Jun-20","Dundee City","4.103448","4.068966","3.800000","4.000000","3.777778"
"Jun-20","East Ayrshire","3.869565","3.772727","3.562500","3.625000","3.500000"
"Jun-20","East Dunbartonshire","4.500000","4.222222","4.000000","3.625000","3.500000"
"Jun-20","East Lothian","4.315789","4.263158","4.111111","4.000000","4.000000"
"Jun-20","East Renfrewshire","3.692308","3.692308","4.000000","3.000000","3.000000"
"Jun-20","Falkirk","4.357143","4.407407","3.769231","3.692308","3.692308"
"Jun-20","Fife","4.102564","4.307692","3.695652","3.521739","3.565217"
"Jun-20","Glasgow City","4.191489","4.063830","3.818182","3.666667","3.393939"
"Jun-20","Highland","4.353846","4.169231","3.727273","3.615385","3.880000"
"Jun-20","Inverclyde","4.500000","4.450000","3.750000","4.000000","3.666667"
"Jun-20","Midlothian","3.750000","3.583333","3.428571","3.375000","3.750000"
"Jun-20","Moray","3.533333","3.733333","3.375000","3.111111","3.272727"
"Jun-20","Na h-Eileanan Siar","4.111111","3.888889","3.333333","3.400000","3.000000"
"Jun-20","North Ayrshire","4.391304","4.173913","3.555556","3.666667","3.625000"
"Jun-20","North Lanarkshire","4.161290","3.774194","4.000000","4.000000","3.571429"
"Jun-20","Orkney Islands","4.571429","4.428571","3.000000","4.000000","3.000000"
"Jun-20","Perth & Kinross","4.275000","4.100000","3.533333","3.562500","3.687500"
"Jun-20","Renfrewshire","4.500000","4.423077","4.000000","4.000000","3.900000"
"Jun-20","Scottish Borders","4.350000","4.200000","3.833333","3.909091","3.800000"
"Jun-20","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Jun-20","South Ayrshire","3.809524","3.952381","3.714286","3.272727","3.250000"
"Jun-20","South Lanarkshire","4.019231","3.788462","3.709677","3.828571","3.575758"
"Jun-20","Stirling","3.904762","3.666667","3.111111","3.444444","3.300000"
"Jun-20","West Dunbartonshire","4.200000","4.200000","4.000000","4.000000","3.800000"
"Jun-20","West Lothian","4.428571","4.142857","3.888889","3.400000","3.692308"
"Jul-20","Aberdeen City","4.448980","4.448980","4.000000","3.750000","3.909091"
"Jul-20","Aberdeenshire","4.430769","4.369231","3.764706","4.312500","4.000000"
"Jul-20","Angus","4.100000","4.066667","3.272727","3.818182","3.545455"
"Jul-20","Argyll & Bute","4.000000","3.705882","3.800000","3.777778","3.333333"
"Jul-20","City of Edinburgh","4.131579","3.947368","3.727273","3.625000","3.843750"
"Jul-20","Clackmannanshire","4.363636","4.636364","3.500000","3.500000","3.000000"
"Jul-20","Dumfries & Galloway","4.093750","4.156250","3.500000","3.384615","3.294118"
"Jul-20","Dundee City","4.103448","4.068966","3.800000","4.000000","3.777778"
"Jul-20","East Ayrshire","3.869565","3.772727","3.562500","3.625000","3.500000"
"Jul-20","East Dunbartonshire","4.500000","4.222222","4.000000","3.625000","3.500000"
"Jul-20","East Lothian","4.333333","4.277778","4.125000","4.000000","4.000000"
"Jul-20","East Renfrewshire","3.692308","3.692308","4.000000","3.000000","3.000000"
"Jul-20","Falkirk","4.357143","4.407407","3.769231","3.692308","3.692308"
"Jul-20","Fife","4.102564","4.307692","3.695652","3.521739","3.565217"
"Jul-20","Glasgow City","4.191489","4.063830","3.818182","3.666667","3.393939"
"Jul-20","Highland","4.363636","4.196970","3.695652","3.592593","3.846154"
"Jul-20","Inverclyde","4.500000","4.450000","3.750000","4.000000","3.666667"
