"Date","Scotland"
"Jun 2023",38
"Jul 2023",38
"Aug 2023",38
"Sep 2023",38
"Oct 2023",38
"Nov 2023",38
"Dec 2023",38
"Jan 2024",38
"Feb 2024",38
"Mar 2024",38
"Apr 2024",38
"May 2024",38
"Jun 2017",117
"Jul 2017",117
"Aug 2017",119
"Sep 2017",118
"Oct 2017",118
"Nov 2017",118
"Dec 2017",118
"Jan 2018",118
"Feb 2018",118
"Mar 2018",118
"Apr 2018",119
"May 2018",116
"Jun 2018",116
"Jul 2018",116
"Aug 2018",116
"Sep 2018",117
"Oct 2018",118
"Nov 2018",118
"Dec 2018",118
"Jan 2019",118
"Feb 2019",118
"Mar 2019",117
"Apr 2019",117
"May 2019",117
"Jun 2019",117
"Jul 2019",117
"Aug 2019",119
"Sep 2019",119
"Oct 2019",118
"Nov 2019",119
"Dec 2019",119
"Jan 2020",119
"Feb 2020",119
"Mar 2020",119
"Apr 2020",118
"May 2020",118
"Jun 2020",118
"Jul 2020",118
"Aug 2020",118
"Sep 2020",118
"Oct 2020",117
"Nov 2020",117
"Dec 2020",117
"Jan 2021",117
"Feb 2021",116
"Mar 2021",116
"Apr 2021",116
"May 2021",118
"Jun 2021",119
"Jul 2021",118
"Aug 2021",117
"Sep 2021",116
"Oct 2021",116
"Nov 2021",116
"Dec 2021",116
"Jan 2022",116
"Feb 2022",116
"Mar 2022",116
"Apr 2022",115
"May 2022",114
"Jun 2022",114
"Jul 2022",114
"Aug 2022",113
"Sep 2022",112
"Oct 2022",112
"Nov 2022",112
"Dec 2022",112
"Jan 2023",112
"Feb 2023",112
"Mar 2023",111
"Apr 2023",112
"May 2023",112
"Jun 2023",112
"Jul 2023",113
"Aug 2023",114
"Sep 2023",115
"Oct 2023",116
"Nov 2023",117
"Dec 2023",116
"Jan 2024",115
"Feb 2024",114
"Mar 2024",114
"Apr 2024",114
"May 2024",114
"Jun 2017",142
"Jul 2017",138
"Aug 2017",138
"Sep 2017",137
"Oct 2017",137
"Nov 2017",137
"Dec 2017",137
"Jan 2018",137
"Feb 2018",137
"Mar 2018",136
"Apr 2018",136
"May 2018",136
"Jun 2018",137
"Jul 2018",137
"Aug 2018",137
"Sep 2018",138
"Oct 2018",138
"Nov 2018",138
"Dec 2018",136
"Jan 2019",136
"Feb 2019",136
"Mar 2019",136
"Apr 2019",136
"May 2019",136
"Jun 2019",136
"Jul 2019",136
"Aug 2019",136
"Sep 2019",136
"Oct 2019",137
"Nov 2019",133
"Dec 2019",132
"Jan 2020",132
"Feb 2020",131
"Mar 2020",131
"Apr 2020",131
"May 2020",130
"Jun 2020",130
"Jul 2020",130
"Aug 2020",130
"Sep 2020",130
"Oct 2020",130
"Nov 2020",129
"Dec 2020",129
"Jan 2021",128
"Feb 2021",128
"Mar 2021",128
"Apr 2021",127
"May 2021",127
"Jun 2021",127
"Jul 2021",126
"Aug 2021",125
"Sep 2021",126
"Oct 2021",125
"Nov 2021",123
"Dec 2021",124
"Jan 2022",126
"Feb 2022",126
"Mar 2022",124
"Apr 2022",125
"May 2022",125
"Jun 2022",124
"Jul 2022",124
"Aug 2022",125
"Sep 2022",124
"Oct 2022",124
"Nov 2022",123
"Dec 2022",123
"Jan 2023",123
"Feb 2023",123
"Mar 2023",123
"Apr 2023",123
"May 2023",123
"Jun 2023",122
"Jul 2023",121
"Aug 2023",122
"Sep 2023",122
"Oct 2023",122
"Nov 2023",122
"Dec 2023",122
"Jan 2024",122
"Feb 2024",122
"Mar 2024",122
"Apr 2024",122
"May 2024",122
"Jun 2017",91
"Jul 2017",91
"Aug 2017",92
"Sep 2017",91
"Oct 2017",91
"Nov 2017",91
"Dec 2017",91
"Jan 2018",88
"Feb 2018",88
"Mar 2018",88
"Apr 2018",88
"May 2018",88
"Jun 2018",88
"Jul 2018",87
"Aug 2018",86
"Sep 2018",87
"Oct 2018",87
